,ad_id,ad_type,advertiser_id,advertiser_name,public_ids_list,date_range_start,date_range_end,num_of_days,impressions,spend_usd,first_served_timestamp,last_served_timestamp,age_targeting,gender_targeting,spend_range_min_usd,spend_range_max_usd,ad_url
0,CR322721609238446080,Video,AR221691299693068288,SAHAK NALBANDYAN,,2022-01-15,2022-01-15,1,≤ 10k,≤ 100,2022-01-15 23:15:00+00:00,2022-01-15 23:15:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR322721609238446080
1,CR250989470642339840,Video,AR221691299693068288,SAHAK NALBANDYAN,,2022-01-14,2022-01-14,1,≤ 10k,≤ 100,2022-01-15 03:45:00+00:00,2022-01-15 04:30:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR250989470642339840
2,CR194061156602609664,Video,AR221691299693068288,SAHAK NALBANDYAN,,2022-01-14,2022-01-14,1,≤ 10k,≤ 100,2022-01-14 21:45:00+00:00,2022-01-15 03:45:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR194061156602609664
3,CR447423820014288896,Video,AR221691299693068288,SAHAK NALBANDYAN,,2022-01-13,2022-01-22,9,≤ 10k,≤ 100,2022-01-13 19:30:00+00:00,2022-01-22 11:15:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR447423820014288896
4,CR525673863539851264,Image,AR221691299693068288,SAHAK NALBANDYAN,,2022-01-13,2022-01-22,10,≤ 10k,≤ 100,2022-01-13 10:45:00+00:00,2022-01-23 05:00:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR525673863539851264
5,CR548754811630125056,Image,AR221691299693068288,SAHAK NALBANDYAN,,2022-01-13,2022-01-22,10,≤ 10k,≤ 100,2022-01-13 09:15:00+00:00,2022-01-23 05:00:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR548754811630125056
6,CR292049632870006784,Image,AR221691299693068288,SAHAK NALBANDYAN,,2022-01-13,2022-01-22,10,≤ 10k,≤ 100,2022-01-13 11:30:00+00:00,2022-01-23 05:00:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR292049632870006784
7,CR138927245539409920,Image,AR221691299693068288,SAHAK NALBANDYAN,,2022-01-13,2022-01-22,10,≤ 10k,≤ 100,2022-01-13 08:30:00+00:00,2022-01-23 04:30:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR138927245539409920
8,CR176943959581392896,Image,AR221691299693068288,SAHAK NALBANDYAN,,2022-01-12,2022-01-24,13,≤ 10k,≤ 100,2022-01-13 02:30:00+00:00,2022-01-25 07:30:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR176943959581392896
9,CR349206645328314368,Image,AR221691299693068288,SAHAK NALBANDYAN,,2022-01-12,2022-01-24,13,≤ 10k,≤ 100,2022-01-13 01:15:00+00:00,2022-01-25 07:45:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR349206645328314368
10,CR514713931634180096,Image,AR221691299693068288,SAHAK NALBANDYAN,,2022-01-12,2022-01-22,11,≤ 10k,≤ 100,2022-01-13 04:15:00+00:00,2022-01-23 05:15:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR514713931634180096
11,CR493040358427459584,Image,AR221691299693068288,SAHAK NALBANDYAN,,2022-01-12,2022-01-24,13,≤ 10k,≤ 100,2022-01-13 01:00:00+00:00,2022-01-25 08:00:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR493040358427459584
12,CR331192246818832384,Video,AR221691299693068288,SAHAK NALBANDYAN,,2022-01-12,2022-01-24,12,≤ 10k,≤ 100,2022-01-13 08:00:00+00:00,2022-01-24 16:15:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR331192246818832384
13,CR173566259860865024,Image,AR221691299693068288,SAHAK NALBANDYAN,,2022-01-12,2022-01-24,13,≤ 10k,≤ 100,2022-01-13 00:15:00+00:00,2022-01-25 07:45:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR173566259860865024
